timediff,colony,f1,tp,fp,fn,tn,num_cells1,num_cells2,precision,recall
5,240102_30C_fig_SW182_01,0.992814667988107,4007,58,0,157456,4066,4125,0.9857318573185732,1.0
5,240102_30C_fig_SX387_01,0.9926262053318208,1750,26,0,50079,1779,1809,0.9853603603603603,1.0
5,240102_30C_fig_SX387_03,0.9929765886287626,2969,42,0,101038,3015,3061,0.986051145798738,1.0
5,240102_30C_fig_SX387_05,0.9919743178170144,927,14,1,9594,944,959,0.9851222104144527,0.9989224137931034
10,240102_30C_fig_SW182_01,0.9857795835449467,3882,112,0,155240,4000,4118,0.971957936905358,1.0
10,240102_30C_fig_SX387_01,0.9832991503076473,1678,54,3,49227,1739,1799,0.9688221709006929,0.9982153480071386
10,240102_30C_fig_SX387_03,0.9859203296703297,2871,82,0,99592,2962,3053,0.9722316288520149,1.0
10,240102_30C_fig_SX387_05,0.9834983498349835,894,28,2,9446,927,957,0.9696312364425163,0.9977678571428571
15,240102_30C_fig_SW182_01,0.9781306951314762,3757,168,0,152990,3934,4111,0.9571974522292994,1.0
15,240102_30C_fig_SX387_01,0.9745608721986675,1609,81,3,48353,1699,1789,0.9520710059171598,0.9981389578163772
15,240102_30C_fig_SX387_03,0.9779890825849621,2777,125,0,98212,2911,3045,0.9569262577532736,1.0
15,240102_30C_fig_SX387_05,0.9745331069609507,861,42,3,9294,910,955,0.9534883720930233,0.9965277777777778
20,240102_30C_fig_SW182_01,0.9694218186673789,3630,227,2,150717,3868,4104,0.9411459683691988,0.9994493392070485
20,240102_30C_fig_SX387_01,0.9627309740056373,1537,113,6,47446,1659,1779,0.9315151515151515,0.9961114711600778
20,240102_30C_fig_SX387_03,0.9697846933236838,2680,164,3,96805,2860,3037,0.9423347398030942,0.9988818486768543
20,240102_30C_fig_SX387_05,0.9657176060429983,831,56,3,9154,894,953,0.9368658399098083,0.9964028776978417
