timediff,colony,f1,tp,fp,fn,tn,num_cells1,num_cells2,precision,recall
5,5,1.0,2684,0,0,57472,2684,2720,1.0,1.0
5,6,0.9994061757719715,3366,2,2,229058,3368,3496,0.9994061757719715,0.9994061757719715
10,5,0.9996220710506425,2645,1,1,56756,2646,2718,0.9996220710506425,0.9996220710506425
10,6,0.9978401727861771,3234,7,7,220605,3241,3493,0.9978401727861771,0.9978401727861771
15,5,0.9973159509202454,2601,7,7,56029,2608,2716,0.9973159509202454,0.9973159509202454
15,6,0.9820397690827454,3062,56,56,212327,3118,3490,0.9820397690827454,0.9820397690827454
20,5,0.9933877868533645,2554,17,17,55327,2571,2713,0.9933877868533645,0.9933877868533645
20,6,0.9466310873915944,2838,160,160,204094,2998,3487,0.9466310873915944,0.9466310873915944
