timediff,colony,f1,tp,fp,fn,tn,num_cells1,num_cells2,precision,recall
5,5,0.9992548435171386,2682,2,2,57470,2684,2720,0.9992548435171386,0.9992548435171386
5,6,0.9997142040583024,3498,1,1,246875,3499,3633,0.9997142040583024,0.9997142040583024
10,5,0.9988662131519275,2643,3,3,56754,2646,2718,0.9988662131519275,0.9988662131519275
10,6,0.9979216152019003,3361,7,7,237877,3368,3630,0.9979216152019003,0.9979216152019003
15,5,0.995782208588957,2597,11,11,56025,2608,2716,0.995782208588957,0.995782208588957
15,6,0.9919777846343721,3215,26,26,229085,3241,3627,0.9919777846343721,0.9919777846343721
20,5,0.9910540645663166,2548,23,23,55321,2571,2713,0.9910540645663166,0.9910540645663166
20,6,0.9830299290342487,3186,55,55,238108,3241,3768,0.9830299290342487,0.9830299290342487
