,t1,t2,colony,num_cells1,num_cells2,method,tp,fp,tn,fn,acc,f1,timediff,assgraphs,seed
98,127,128,wt_pom1D_01_30_R3D_REF_dv_trk,16,16,gcn,16,0,240,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
99,70,71,wt_pom1D_01_30_R3D_REF_dv_trk,5,6,gcn,4,0,26,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
100,44,45,wt_pom1D_01_30_R3D_REF_dv_trk,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
101,98,99,wt_pom1D_01_30_R3D_REF_dv_trk,8,8,gcn,8,0,56,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
102,143,144,wt_pom1D_01_30_R3D_REF_dv_trk,24,26,gcn,22,0,602,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
103,27,28,wt_pom1D_01_30_R3D_REF_dv_trk,2,2,gcn,2,0,2,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
104,170,171,wt_pom1D_01_30_R3D_REF_dv_trk,44,43,gcn,43,0,1849,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
105,177,178,wt_pom1D_01_30_R3D_REF_dv_trk,57,59,gcn,55,0,3308,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
106,40,41,wt_pom1D_01_30_R3D_REF_dv_trk,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
107,123,124,wt_pom1D_01_30_R3D_REF_dv_trk,16,16,gcn,16,0,240,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
108,176,177,wt_pom1D_01_30_R3D_REF_dv_trk,57,57,gcn,57,0,3192,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
109,76,77,wt_pom1D_01_30_R3D_REF_dv_trk,7,7,gcn,7,0,42,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
110,120,121,wt_pom1D_01_30_R3D_REF_dv_trk,16,16,gcn,16,0,240,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
