timediff,colony,f1,tp,fp,fn,tn,num_cells1,num_cells2,precision,recall
5,5,0.9988822652757079,2681,3,3,57469,2684,2720,0.9988822652757079,0.9988822652757079
5,6,0.9994061757719715,3366,2,2,229058,3368,3496,0.9994061757719715,0.9994061757719715
10,5,0.99848828420257,2642,4,4,56753,2646,2718,0.99848828420257,0.99848828420257
10,6,0.9982185273159145,3362,6,6,237878,3368,3630,0.9982185273159145,0.9982185273159145
15,5,0.995398773006135,2596,12,12,56024,2608,2716,0.995398773006135,0.995398773006135
15,6,0.9879666769515582,3202,39,39,229072,3241,3627,0.9879666769515582,0.9879666769515582
20,5,0.9918319719953326,2550,21,21,55323,2571,2713,0.9918319719953326,0.9918319719953326
20,6,0.9746632456703015,3039,79,79,220495,3118,3624,0.9746632456703015,0.9746632456703015
