timediff,colony,f1,tp,fp,fn,tn,num_cells1,num_cells2,precision,recall
5,5,1.0,2684,0,0,57472,2684,2720,1.0,1.0
5,6,0.9994284081166047,3497,2,2,246874,3499,3633,0.9994284081166047,0.9994284081166047
10,5,0.999244142101285,2644,2,2,56755,2646,2718,0.999244142101285,0.999244142101285
10,6,0.9979216152019003,3361,7,7,237877,3368,3630,0.9979216152019003,0.9979216152019003
15,5,0.995782208588957,2597,11,11,56025,2608,2716,0.995782208588957,0.995782208588957
15,6,0.9904350509102129,3210,31,31,229080,3241,3627,0.9904350509102129,0.9904350509102129
20,5,0.9926098794243485,2552,19,19,55325,2571,2713,0.9926098794243485,0.9926098794243485
20,6,0.9719222462203023,3150,91,91,238072,3241,3768,0.9719222462203023,0.9719222462203023
