,assgraphs,timediff,colony,f1,f1,tp,tp,fp,fp,fn,fn,tn,tn,num_cells1,num_cells1,num_cells2,num_cells2,precision,precision,recall,recall
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0,fourier_descriptor,5,colony000,0.9976609697648054,4.970943813255204e-05,11587.333333333334,0.5773502691893632,30.666666666666668,0.5773502691896263,23.666666666666668,0.5773502691896263,2159571.3333333335,0.5773502691224134,11618.0,0.0,11968.0,0.0,0.9973604177425833,4.969446283276075e-05,0.9979617029828036,4.972442246054097e-05
1,fourier_descriptor,5,colony005,0.9990064580228516,0.00021510814798412,2681.3333333333335,0.5773502691896586,2.6666666666666665,0.5773502691896258,2.6666666666666665,0.5773502691896258,57469.333333333336,0.5773502691901509,2684.0,0.0,2720.0,0.0,0.9990064580228516,0.00021510814798412,0.9990064580228516,0.00021510814798412
2,fourier_descriptor,5,colony006,0.9977307110438729,0.00033355412393651666,7914.0,2.6457513110645907,18.0,2.6457513110645907,18.0,2.6457513110645907,1275661.0,2.6457513110645907,7932.0,0.0,8260.0,0.0,0.9977307110438729,0.00033355412393651666,0.9977307110438729,0.00033355412393651666
3,fourier_descriptor,5,colony007,0.9730044386232991,0.0010120258255527231,11143.333333333334,11.590225767142323,315.6666666666667,11.590225767142478,302.6666666666667,11.590225767142478,2716837.3333333335,11.59022576710397,11496.0,0.0,11746.0,0.0,0.9724525118538558,0.0010114517643025566,0.9735569922534801,0.0010126005388032128
4,fourier_descriptor,5,test_set_1,1.0,0.0,1123.0,0.0,0.0,0.0,0.0,0.0,21133.0,0.0,1123.0,0.0,1136.0,0.0,1.0,0.0,1.0,0.0
5,fourier_descriptor,5,test_set_2,1.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,554.0,0.0,138.0,0.0,140.0,0.0,1.0,0.0,1.0,0.0
6,fourier_descriptor,5,test_set_3,0.9968597896059035,0.0014390251829035038,2116.3333333333335,3.055050463303881,6.666666666666667,3.0550504633038935,6.666666666666667,3.0550504633038935,240440.33333333334,3.0550504633030995,2123.0,0.0,2156.0,0.0,0.9968597896059035,0.0014390251829035038,0.9968597896059035,0.0014390251829035038
7,fourier_descriptor,5,test_set_4,0.9777003172900747,0.007955600415238283,3646.3333333333335,29.670411748631615,86.66666666666667,29.67041174863155,79.66666666666667,29.67041174863155,752271.3333333334,29.67041174864692,3740.0,0.0,3802.0,0.0,0.9767836413965533,0.00794814137386325,0.9786187153336913,0.007963073469842135
8,fourier_descriptor,5,test_set_5,0.9976019184652278,0.0006390152398335818,2704.0,1.7320508075688772,11.0,1.7320508075688772,2.0,1.7320508075688772,391913.0,1.7320508075688772,2724.0,0.0,2744.0,0.0,0.9959484346224677,0.0006379560985520678,0.9992609016999262,0.0006400779037578948
9,fourier_descriptor,5,test_set_6,1.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,16803.0,0.0,384.0,0.0,399.0,0.0,1.0,0.0,1.0,0.0
10,fourier_descriptor,5,test_set_7,0.9922540666150272,0.0013416350174815432,1281.0,1.7320508075688772,12.0,1.7320508075688772,8.0,1.7320508075688772,192080.0,1.7320508075688772,1293.0,0.0,1336.0,0.0,0.9907192575406034,0.0013395597893030439,0.9937936384794415,0.0013437166854685409
11,fourier_descriptor,10,colony000,0.9925570796525651,0.0004468613625292027,11179.666666666666,5.033222956847136,90.33333333333333,5.033222956847167,77.33333333333333,5.033222956847167,2096455.6666666667,5.033222956851021,11270.0,0.0,11964.0,0.0,0.9919846199349305,0.0004466036341480492,0.9931302004678569,0.0004471193885446682
12,fourier_descriptor,10,colony005,0.99848828420257,0.0003779289493576199,2642.0,1.0,4.0,1.0,4.0,1.0,56753.0,1.0,2646.0,0.0,2718.0,0.0,0.99848828420257,0.0003779289493576199,0.99848828420257,0.0003779289493576199
13,fourier_descriptor,10,colony006,0.9914720545788507,0.004658955892040045,7557.0,35.510561809129406,65.0,35.510561809129406,65.0,35.510561809129406,1224636.0,35.510561809129406,7622.0,0.0,8257.0,0.0,0.9914720545788507,0.004658955892040045,0.9914720545788507,0.004658955892040045
14,fourier_descriptor,15,colony000,0.9816417158815182,0.0005718077185733281,10721.0,6.244997998398398,210.0,6.244997998398398,191.0,6.244997998398398,2034753.0,6.244997998398398,10931.0,0.0,11960.0,0.0,0.9807885829292836,0.0005713107673953069,0.9824963343108504,0.0005723055350438298
15,fourier_descriptor,15,colony005,0.9959100204498977,0.0005857075274738601,2597.3333333333335,1.5275252316518846,10.666666666666666,1.5275252316519465,10.666666666666666,1.5275252316519465,56025.333333333336,1.5275252316509542,2608.0,0.0,2716.0,0.0,0.9959100204498977,0.0005857075274738601,0.9959100204498977,0.0005857075274738601
16,fourier_descriptor,15,colony006,0.9644286754002911,0.017538179310190576,7067.333333333333,128.51977798507627,260.6666666666667,128.51977798507642,260.6666666666667,128.51977798507642,1176729.3333333333,128.5197779850435,7328.0,0.0,8254.0,0.0,0.9644286754002911,0.017538179310190576,0.9644286754002911,0.017538179310190576
17,fourier_descriptor,20,colony000,0.96372535133689,0.0021744929196816365,10206.333333333334,23.028967265888085,396.6666666666667,23.028967265887825,371.6666666666667,23.028967265887825,1975246.3333333333,23.028967265855815,10603.0,0.0,11956.0,0.0,0.9625892043132446,0.0021719293846918964,0.9648641835255561,0.002177062513319013
