timediff,colony,seed,assgraphs,f1,tp,fp,fn,tn,num_cells1,num_cells2,precision,recall
10,colony006,0,geometrical_and_fourier,0.9963264235108896,7594,28,28,1224673,7622,8257,0.9963264235108896,0.9963264235108896
10,colony006,0,fourier_descriptor,0.9942272369456836,7578,44,44,1224657,7622,8257,0.9942272369456836,0.9942272369456836
10,colony006,1,geometrical_features_only,0.9959328260299134,7591,31,31,1224670,7622,8257,0.9959328260299134,0.9959328260299134
10,colony006,1,geometrical_and_fourier,0.9961952243505642,7593,29,29,1224672,7622,8257,0.9961952243505642,0.9961952243505642
10,colony006,1,fourier_descriptor,0.9940960377853582,7577,45,45,1224656,7622,8257,0.9940960377853582,0.9940960377853582
10,colony006,2,geometrical_features_only,0.9964576226712148,7595,27,27,1224674,7622,8257,0.9964576226712148,0.9964576226712148
10,colony006,2,geometrical_and_fourier,0.993308842823406,7571,51,51,1224650,7622,8257,0.993308842823406,0.993308842823406
10,colony006,2,fourier_descriptor,0.9860928890055104,7516,106,106,1224595,7622,8257,0.9860928890055104,0.9860928890055104
15,colony000,0,geometrical_features_only,0.9814585908529048,10719,212,193,2034751,10931,11960,0.9806056170524198,0.9823130498533724
15,colony000,0,geometrical_and_fourier,0.9795357780524652,10698,233,214,2034730,10931,11960,0.978684475345348,0.9803885630498532
15,colony000,0,fourier_descriptor,0.9818248409101314,10723,208,189,2034755,10931,11960,0.9809715488061476,0.9826796187683284
15,colony000,1,geometrical_features_only,0.9800851531383052,10704,227,208,2034736,10931,11960,0.97923337297594,0.9809384164222874
15,colony000,1,geometrical_and_fourier,0.9774298402234124,10675,256,237,2034707,10931,11960,0.9765803677614124,0.9782807917888564
15,colony000,1,fourier_descriptor,0.9820995284530514,10726,205,186,2034758,10931,11960,0.9812459976214436,0.9829545454545454
15,colony000,2,geometrical_features_only,0.9805429657098385,10709,222,203,2034741,10931,11960,0.9796907876681,0.9813966275659824
15,colony000,2,geometrical_and_fourier,0.9756901524515864,10656,275,256,2034688,10931,11960,0.9748421919312048,0.9765395894428152
15,colony000,2,fourier_descriptor,0.9810007782813716,10714,217,198,2034746,10931,11960,0.9801482023602598,0.9818548387096774
15,colony005,0,geometrical_features_only,0.995782208588957,2597,11,11,56025,2608,2716,0.995782208588957,0.995782208588957
15,colony005,0,geometrical_and_fourier,0.9980828220858896,2603,5,5,56031,2608,2716,0.9980828220858896,0.9980828220858896
15,colony005,0,fourier_descriptor,0.995398773006135,2596,12,12,56024,2608,2716,0.995398773006135,0.995398773006135
15,colony005,1,geometrical_features_only,0.995782208588957,2597,11,11,56025,2608,2716,0.995782208588957,0.995782208588957
15,colony005,1,geometrical_and_fourier,0.9973159509202454,2601,7,7,56029,2608,2716,0.9973159509202454,0.9973159509202454
15,colony005,1,fourier_descriptor,0.995782208588957,2597,11,11,56025,2608,2716,0.995782208588957,0.995782208588957
15,colony005,2,geometrical_features_only,0.9965490797546012,2599,9,9,56027,2608,2716,0.9965490797546012,0.9965490797546012
15,colony005,2,geometrical_and_fourier,0.9973159509202454,2601,7,7,56029,2608,2716,0.9973159509202454,0.9973159509202454
15,colony005,2,fourier_descriptor,0.9965490797546012,2599,9,9,56027,2608,2716,0.9965490797546012,0.9965490797546012
15,colony006,0,geometrical_features_only,0.9822598253275108,7198,130,130,1176860,7328,8254,0.9822598253275108,0.9822598253275108
15,colony006,0,geometrical_and_fourier,0.9754366812227074,7148,180,180,1176810,7328,8254,0.9754366812227074,0.9754366812227074
15,colony006,0,fourier_descriptor,0.9707969432314412,7114,214,214,1176776,7328,8254,0.9707969432314412,0.9707969432314412
15,colony006,1,geometrical_features_only,0.9777565502183406,7165,163,163,1176827,7328,8254,0.9777565502183406,0.9777565502183406
15,colony006,1,geometrical_and_fourier,0.972843886462882,7129,199,199,1176791,7328,8254,0.972843886462882,0.972843886462882
15,colony006,1,fourier_descriptor,0.9778930131004366,7166,162,162,1176828,7328,8254,0.9778930131004366,0.9778930131004366
15,colony006,2,geometrical_features_only,0.9828056768558951,7202,126,126,1176864,7328,8254,0.9828056768558951,0.9828056768558951
15,colony006,2,geometrical_and_fourier,0.9561954148471616,7007,321,321,1176669,7328,8254,0.9561954148471616,0.9561954148471616
15,colony006,2,fourier_descriptor,0.9445960698689956,6922,406,406,1176584,7328,8254,0.9445960698689956,0.9445960698689956
20,colony000,0,geometrical_features_only,0.9649213918134176,10219,384,359,1975259,10603,11956,0.963783834763746,0.9660616373605596
20,colony000,0,geometrical_and_fourier,0.9624663613615976,10193,410,385,1975233,10603,11956,0.9613316985758747,0.9636037058045
20,colony000,0,fourier_descriptor,0.9642604220763892,10212,391,366,1975252,10603,11956,0.9631236442516268,0.9653998865570051
20,colony000,1,geometrical_features_only,0.9590670884283083,10157,446,421,1975197,10603,11956,0.957936433084976,0.960200415957648
20,colony000,1,geometrical_and_fourier,0.9574618762098108,10140,463,438,1975180,10603,11956,0.9563331132698292,0.9585933068633012
20,colony000,1,fourier_descriptor,0.9655823615504462,10226,377,352,1975266,10603,11956,0.9644440252758654,0.9667233881641142
20,colony000,2,geometrical_features_only,0.9641659978282424,10211,392,367,1975251,10603,11956,0.9630293313213242,0.965305350727926
20,colony000,2,geometrical_and_fourier,0.9485859968839998,10046,557,532,1975086,10603,11956,0.9474676978213712,0.9497069389298544
20,colony000,2,fourier_descriptor,0.9613332703838344,10181,422,397,1975221,10603,11956,0.9601999434122418,0.9624692758555492
20,colony005,0,geometrical_features_only,0.9914430182808246,2549,22,22,55322,2571,2713,0.9914430182808246,0.9914430182808246
20,colony005,0,geometrical_and_fourier,0.9941656942823804,2556,15,15,55329,2571,2713,0.9941656942823804,0.9941656942823804
20,colony005,0,fourier_descriptor,0.9918319719953326,2550,21,21,55323,2571,2713,0.9918319719953326,0.9918319719953326
20,colony005,1,geometrical_features_only,0.9926098794243484,2552,19,19,55325,2571,2713,0.9926098794243484,0.9926098794243484
20,colony005,1,geometrical_and_fourier,0.9918319719953326,2550,21,21,55323,2571,2713,0.9918319719953326,0.9918319719953326
20,colony005,1,fourier_descriptor,0.9918319719953326,2550,21,21,55323,2571,2713,0.9918319719953326,0.9918319719953326
20,colony005,2,geometrical_features_only,0.9918319719953326,2550,21,21,55323,2571,2713,0.9918319719953326,0.9918319719953326
20,colony005,2,geometrical_and_fourier,0.9933877868533644,2554,17,17,55327,2571,2713,0.9933877868533644,0.9933877868533644
20,colony005,2,fourier_descriptor,0.9914430182808246,2549,22,22,55322,2571,2713,0.9914430182808246,0.9914430182808246
20,colony006,0,geometrical_features_only,0.9404170804369414,6629,420,420,1131944,7049,8251,0.9404170804369414,0.9404170804369414
20,colony006,0,geometrical_and_fourier,0.9133210384451697,6438,611,611,1131753,7049,8251,0.9133210384451697,0.9133210384451697
20,colony006,0,fourier_descriptor,0.9214072918144418,6495,554,554,1131810,7049,8251,0.9214072918144418,0.9214072918144418
20,colony006,1,geometrical_features_only,0.9187118740246843,6476,573,573,1131791,7049,8251,0.9187118740246843,0.9187118740246843
20,colony006,1,geometrical_and_fourier,0.8873599092069797,6255,794,794,1131570,7049,8251,0.8873599092069797,0.8873599092069797
20,colony006,1,fourier_descriptor,0.927081855582352,6535,514,514,1131850,7049,8251,0.927081855582352,0.927081855582352
20,colony006,2,geometrical_features_only,0.9446730032628742,6659,390,390,1131974,7049,8251,0.9446730032628742,0.9446730032628742
20,colony006,2,geometrical_and_fourier,0.8371400198609732,5901,1148,1148,1131216,7049,8251,0.8371400198609732,0.8371400198609732
20,colony006,2,fourier_descriptor,0.8779968789899276,6189,860,860,1131504,7049,8251,0.8779968789899276,0.8779968789899276
5,colony007,0,geometrical_features_only,0.974459724950884,11160,299,286,2716854,11496,11746,0.9739069726852256,0.9750131050148524
5,colony007,0,geometrical_and_fourier,0.9665670882857688,15207,542,510,4039011,15796,16064,0.9655851165153344,0.9675510593624738
5,colony007,0,fourier_descriptor,0.9718402095612312,11130,329,316,2716824,11496,11746,0.97128894318876,0.9723921020443824
5,colony007,1,geometrical_features_only,0.9735865531543332,11150,309,296,2716844,11496,11746,0.9730342961864036,0.974139437358029
5,colony007,1,geometrical_and_fourier,0.9673298163096676,15219,530,498,4039023,15796,16064,0.9663470696552162,0.9683145638480626
5,colony007,1,fourier_descriptor,0.973499235974678,11149,310,297,2716843,11496,11746,0.9729470285365216,0.9740520705923468
5,colony007,2,geometrical_features_only,0.9724514298188168,11137,322,309,2716831,11496,11746,0.9718998167379352,0.9730036694041586
5,colony007,2,geometrical_and_fourier,0.96688489162906,15212,537,505,4039016,15796,16064,0.9659025969902852,0.9678691862314692
5,colony007,2,fourier_descriptor,0.9736738703339882,11151,308,295,2716845,11496,11746,0.973121563836286,0.9742268041237112
5,test_set_1,0,geometrical_features_only,1.0,1123,0,0,21133,1123,1136,1.0,1.0
5,test_set_1,0,geometrical_and_fourier,1.0,1123,0,0,21133,1123,1136,1.0,1.0
5,test_set_1,0,fourier_descriptor,1.0,1123,0,0,21133,1123,1136,1.0,1.0
5,test_set_1,1,geometrical_features_only,1.0,1123,0,0,21133,1123,1136,1.0,1.0
5,test_set_1,1,geometrical_and_fourier,1.0,1123,0,0,21133,1123,1136,1.0,1.0
5,test_set_1,1,fourier_descriptor,1.0,1123,0,0,21133,1123,1136,1.0,1.0
5,test_set_1,2,geometrical_features_only,1.0,1123,0,0,21133,1123,1136,1.0,1.0
