timediff,colony,f1,tp,fp,fn,tn,num_cells1,num_cells2,precision,recall
5,5,0.9985096870342772,2680,4,4,57468,2684,2720,0.9985096870342772,0.9985096870342772
5,6,0.9994061757719715,3366,2,2,229058,3368,3496,0.9994061757719715,0.9994061757719715
10,5,0.9973544973544973,2639,7,7,56750,2646,2718,0.9973544973544973,0.9973544973544973
10,6,0.9973277909738717,3359,9,9,237875,3368,3630,0.9973277909738717,0.9973277909738717
15,5,0.995398773006135,2596,12,12,56024,2608,2716,0.995398773006135,0.995398773006135
15,6,0.9845726627584079,3191,50,50,229061,3241,3627,0.9845726627584079,0.9845726627584079
20,5,0.9910540645663166,2548,23,23,55321,2571,2713,0.9910540645663166,0.9910540645663166
20,6,0.9720974983964079,3031,87,87,220487,3118,3624,0.9720974983964079,0.9720974983964079
