timediff,colony,f1,tp,fp,fn,tn,num_cells1,num_cells2,precision,recall
5,5,0.9992548435171386,2682,2,2,57470,2684,2720,0.9992548435171386,0.9992548435171386
5,6,0.9997030878859857,3367,1,1,229059,3368,3496,0.9997030878859857,0.9997030878859857
10,5,0.9996220710506425,2645,1,1,56756,2646,2718,0.9996220710506425,0.9996220710506425
10,6,0.9985154394299287,3363,5,5,237879,3368,3630,0.9985154394299287,0.9985154394299287
15,5,0.9969325153374233,2600,8,8,56028,2608,2716,0.9969325153374233,0.9969325153374233
15,6,0.9895094106757174,3207,34,34,229077,3241,3627,0.9895094106757174,0.9895094106757174
20,5,0.9926098794243485,2552,19,19,55325,2571,2713,0.9926098794243485,0.9926098794243485
20,6,0.9801154586273252,3056,62,62,220512,3118,3624,0.9801154586273252,0.9801154586273252
