,index,t1,t2,colony,num_cells1,num_cells2,method,tp,fp,tn,fn,acc,f1,timediff,assgraphs,seed
61,61,68,70,colony006,47,47,gcn,47,0,2162,0,1.0,1.0,10,geometrical_features_only,0
62,62,113,114,colony000,136,143,gcn,136,0,19312,0,1.0,1.0,5,geometrical_features_only,0
63,63,77,78,colony006,64,67,gcn,64,0,4224,0,1.0,1.0,5,geometrical_features_only,0
64,64,10,14,colony006,6,6,gcn,6,0,30,0,1.0,1.0,20,geometrical_features_only,0
65,65,125,128,colony000,199,218,gcn,199,0,43183,0,1.0,1.0,15,geometrical_features_only,0
66,66,101,103,colony006,157,167,gcn,157,0,26062,0,1.0,1.0,10,geometrical_features_only,0
67,67,112,116,colony005,15,17,gcn,14,1,239,1,0.992156862745098,0.9333333333333332,20,geometrical_features_only,0
68,68,132,136,colony000,242,274,gcn,231,11,66056,10,0.9996832961331966,0.9565217391304348,20,geometrical_features_only,0
69,69,87,91,colony000,63,73,gcn,63,0,4536,0,1.0,1.0,20,geometrical_features_only,0
70,70,17,20,colony006,6,7,gcn,6,0,36,0,1.0,1.0,15,geometrical_features_only,0
71,71,94,96,colony000,76,79,gcn,76,0,5928,0,1.0,1.0,10,geometrical_features_only,0
72,72,120,123,colony005,19,21,gcn,19,0,380,0,1.0,1.0,15,geometrical_features_only,0
73,73,21,24,colony005,3,4,gcn,3,0,9,0,1.0,1.0,15,geometrical_features_only,0
74,74,113,114,colony006,251,262,gcn,251,0,65511,0,1.0,1.0,5,geometrical_features_only,0
75,75,16,18,colony005,3,3,gcn,3,0,6,0,1.0,1.0,10,geometrical_features_only,0
76,76,49,50,colony005,8,8,gcn,8,0,56,0,1.0,1.0,5,geometrical_features_only,0
77,77,97,98,colony000,87,94,gcn,87,0,8091,0,1.0,1.0,5,geometrical_features_only,0
78,78,31,35,colony006,11,13,gcn,9,2,130,2,0.972027972027972,0.8181818181818182,20,geometrical_features_only,0
79,79,66,68,colony005,9,9,gcn,9,0,72,0,1.0,1.0,10,geometrical_features_only,0
80,80,85,89,colony000,61,66,gcn,61,0,3965,0,1.0,1.0,20,geometrical_features_only,0
81,81,35,38,colony006,13,14,gcn,13,0,169,0,1.0,1.0,15,geometrical_features_only,0
82,82,120,121,colony005,19,21,gcn,19,0,380,0,1.0,1.0,5,geometrical_features_only,0
83,83,0,2,colony006,3,3,gcn,3,0,6,0,1.0,1.0,10,geometrical_features_only,0
84,84,23,27,colony000,8,8,gcn,8,0,56,0,1.0,1.0,20,geometrical_features_only,0
85,85,135,137,colony000,267,282,gcn,255,12,75015,12,0.9996812495019524,0.9550561797752808,10,geometrical_features_only,0
86,86,78,79,colony006,67,68,gcn,67,0,4489,0,1.0,1.0,5,geometrical_features_only,0
87,87,28,29,colony006,10,10,gcn,10,0,90,0,1.0,1.0,5,geometrical_features_only,0
88,88,90,92,colony005,11,11,gcn,11,0,110,0,1.0,1.0,10,geometrical_features_only,0
