,t1,t2,colony,num_cells1,num_cells2,method,tp,fp,tn,fn,acc,f1,timediff,assgraphs,seed
233,23,24,240102_30C_fig_SW182_01,12,12,gcn,12,0,132,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
234,60,61,240102_30C_fig_SX387_05,8,8,gcn,8,0,56,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
235,119,120,240102_30C_fig_SW182_02,57,57,gcn,57,0,3192,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
236,87,88,240102_30C_fig_SW182_02,33,33,gcn,33,0,1056,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
237,1,2,240102_30C_fig_SX387_05,2,2,gcn,2,0,2,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
238,89,90,240102_30C_fig_SX387_05,15,15,gcn,15,0,210,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
239,55,56,240102_30C_fig_SX387_01,36,36,gcn,36,0,1260,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
240,14,15,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
241,90,91,240102_30C_fig_SX387_05,15,15,gcn,15,0,210,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
242,9,10,240102_30C_fig_SW182_02,8,8,gcn,8,0,56,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
243,30,31,240102_30C_fig_SW182_01,12,12,gcn,12,0,132,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
244,28,29,240102_30C_fig_SW182_01,12,12,gcn,12,0,132,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
245,15,16,240102_30C_fig_SX387_03,12,12,gcn,12,0,132,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
246,108,109,240102_30C_fig_SW182_01,38,38,gcn,38,0,1406,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
247,30,31,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
248,27,28,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
249,96,97,240102_30C_fig_SX387_05,16,16,gcn,16,0,240,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
250,63,64,240102_30C_fig_SX387_05,8,8,gcn,8,0,56,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
251,19,20,240102_30C_fig_SX387_01,18,18,gcn,18,0,306,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
252,92,93,240102_30C_fig_SX387_03,47,47,gcn,47,0,2162,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
253,93,94,240102_30C_fig_SW182_01,36,36,gcn,36,0,1260,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
254,92,93,240102_30C_fig_SX387_05,16,16,gcn,16,0,240,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
255,11,12,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
256,141,142,240102_30C_fig_SW182_01,66,66,gcn,66,0,4290,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
257,54,55,240102_30C_fig_SW182_01,17,17,gcn,17,0,272,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
258,42,43,240102_30C_fig_SX387_01,25,25,gcn,25,0,600,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
259,64,65,240102_30C_fig_SX387_03,24,24,gcn,24,0,552,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
260,91,92,240102_30C_fig_SX387_03,47,47,gcn,47,0,2162,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
261,10,11,240102_30C_fig_SW182_01,7,7,gcn,7,0,42,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
262,70,71,240102_30C_fig_SX387_05,8,8,gcn,8,0,56,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
263,98,99,240102_30C_fig_SW182_01,37,37,gcn,37,0,1332,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
264,25,26,240102_30C_fig_SW182_01,12,12,gcn,12,0,132,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
265,22,23,240102_30C_fig_SW182_01,12,12,gcn,12,0,132,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
266,112,113,240102_30C_fig_SX387_05,17,17,gcn,17,0,272,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
267,128,129,240102_30C_fig_SW182_02,62,62,gcn,62,0,3782,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
268,31,32,240102_30C_fig_SW182_02,13,13,gcn,13,0,156,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
269,20,21,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
270,140,141,240102_30C_fig_SW182_02,66,66,gcn,66,0,4290,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
271,50,51,240102_30C_fig_SW182_01,17,17,gcn,17,0,272,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
272,33,34,240102_30C_fig_SW182_01,14,14,gcn,14,0,182,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
273,59,60,240102_30C_fig_SX387_03,24,24,gcn,24,0,552,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
274,32,33,240102_30C_fig_SW182_02,13,13,gcn,13,0,156,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
275,94,95,240102_30C_fig_SW182_01,36,36,gcn,36,0,1260,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
276,2,3,240102_30C_fig_SX387_03,8,8,gcn,8,0,56,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
277,61,62,240102_30C_fig_SW182_02,22,22,gcn,22,0,462,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
278,88,89,240102_30C_fig_SX387_05,15,15,gcn,15,0,210,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
279,37,38,240102_30C_fig_SX387_03,16,16,gcn,16,0,240,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
280,138,139,240102_30C_fig_SW182_01,64,64,gcn,64,0,4032,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
281,12,13,240102_30C_fig_SX387_01,15,15,gcn,15,0,210,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
282,95,96,240102_30C_fig_SX387_03,47,47,gcn,47,0,2162,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
283,66,67,240102_30C_fig_SW182_01,21,21,gcn,21,0,420,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
284,81,82,240102_30C_fig_SW182_02,32,32,gcn,32,0,992,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
285,19,20,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
286,72,73,240102_30C_fig_SW182_02,27,27,gcn,27,0,702,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
287,129,130,240102_30C_fig_SW182_01,58,58,gcn,58,0,3306,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
288,112,113,240102_30C_fig_SW182_02,52,52,gcn,52,0,2652,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
289,62,63,240102_30C_fig_SX387_05,8,8,gcn,8,0,56,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
290,21,22,240102_30C_fig_SW182_02,11,11,gcn,11,0,110,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
291,34,35,240102_30C_fig_SW182_02,13,13,gcn,13,0,156,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
292,17,18,240102_30C_fig_SX387_03,12,12,gcn,12,0,132,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
293,43,44,240102_30C_fig_SW182_01,15,15,gcn,15,0,210,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
294,24,25,240102_30C_fig_SW182_01,12,12,gcn,12,0,132,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
295,28,29,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,5,/mlodata1/hokarami/fari/tracking/generated_data/fissions/ass_graphs_features_locality,0
