timediff,colony,f1,tp,fp,fn,tn,num_cells1,num_cells2,precision,recall
5,5,1.0,2684,0,0,57472,2684,2720,1.0,1.0
5,6,0.9997030878859857,3367,1,1,229059,3368,3496,0.9997030878859857,0.9997030878859857
10,5,0.999244142101285,2644,2,2,56755,2646,2718,0.999244142101285,0.999244142101285
10,6,0.9981487195310089,3235,6,6,220606,3241,3493,0.9981487195310089,0.9981487195310089
15,5,0.9973159509202454,2601,7,7,56029,2608,2716,0.9973159509202454,0.9973159509202454
15,6,0.9884541372674791,3082,36,36,212347,3118,3490,0.9884541372674791,0.9884541372674791
20,5,0.9933877868533645,2554,17,17,55327,2571,2713,0.9933877868533645,0.9933877868533645
20,6,0.9709806537691794,2911,87,87,204167,2998,3487,0.9709806537691794,0.9709806537691794
